scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Ngepungsari,,,,5,5,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatipurwo,,,,5,4,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatipuro,,,,19,19,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatisobo,,,,6,6,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatiwarno,,,,9,8,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatimulyo,,,,6,6,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatisuko,,,,3,2,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatiharjo,,,,3,2,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatikuwung,,,,8,7,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatipuro,Jatiroyo,,,,0,0,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Jatisawit,,,,5,4,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Petung,,,,1,0,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Wonokeling,,,,1,1,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Jatiyoso,,,,21,10,9,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Tlobo,,,,3,2,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Wonorejo,,,,8,8,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Beruk,,,,7,1,5,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Karangsari,,,,6,0,5,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jatiyoso,Wukirsawit,,,,14,4,9,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Paseban,,,,3,2,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Lemahbang,,,,8,8,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Karangbangun,,,,11,8,1,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Ploso,,,,4,2,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Giriwondo,,,,5,5,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Kadipiro,,,,5,3,2,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Jumantoro,,,,3,2,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Kedawung,,,,1,1,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Bakalan,,,,1,1,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Jumapolo,,,,20,17,1,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Kwangsan,,,,2,2,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumapolo,Jatirejo,,,,5,3,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Sedayu,,,,8,7,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Kebak,,,,7,4,1,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Gemantar,,,,12,5,7,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Tunggurejo,,,,31,22,7,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Genengan,,,,14,13,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Ngunut,,,,18,16,0,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Tugu,,,,9,7,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Sukosari,,,,11,11,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Sambirejo,,,,14,14,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Blorong,,,,5,3,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Jumantono,Sringin,,,,14,13,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Ngadiluwih,,,,19,12,5,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Dawung,,,,11,9,2,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Matesih,,,,34,23,9,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Karangbangun,,,,13,12,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Koripan,,,,23,21,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Girilayu,,,,3,1,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Pablengan,,,,12,8,3,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Plosorejo,,,,13,10,3,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Matesih,Gantiwarno,,,,11,9,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Bandardawung,,,,12,11,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Sepanjang,,,,15,10,4,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Tawangmangu,,,,44,39,1,,4,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Kalisoro,,,,19,18,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Blumbang,,,,6,5,0,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Gondosuli,,,,5,5,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Tengklik,,,,3,2,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Nglebak,,,,22,11,9,,2,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Karanglo,,,,23,21,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Tawangmangu,Plumbon,,,,7,3,3,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Puntukrejo,,,,8,8,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Berjo,,,,14,9,5,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Girimulyo,,,,3,3,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Segorogunung,,,,4,4,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Kemuning,,,,7,6,1,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Nglegok,,,,7,5,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Dukuh,,,,1,1,0,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Jatirejo,,,,9,4,5,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,Ngargoyoso,,,,9,5,3,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Karangpandan,Bangsri,,,,19,13,6,,0,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Karangpandan,Ngemplak,,,,10,8,1,,1,,,,,http://covid19.karanganyarkab.go.id/
2021-01-17,kelurahan,Alfie Qashwa,2021-01-16,Jawa Tengah,Karanganyar,Kec.Karangpandan,Doplang,,,,12,11,0,,1,,,,,http://covid19.karanganyarkab.go.id/
