date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
15/09/2020,Jawa Tengah,Brebes      ,Banjarharjo  ,     ,      ,0        ,0        ,8            ,3             ,0              ,5              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Bantarkawung ,     ,      ,1        ,0        ,38           ,32            ,1              ,5              ,0                ,0        ,9        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Brebes       ,     ,      ,1        ,9        ,35           ,7             ,14             ,14             ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Bulakamba    ,     ,      ,2        ,0        ,19           ,8             ,1              ,10             ,0                ,0        ,2        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Bumiayu      ,     ,      ,2        ,2        ,29           ,6             ,1              ,22             ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Jatibarang   ,     ,      ,1        ,0        ,9            ,2             ,1              ,6              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Kersana      ,     ,      ,0        ,0        ,4            ,1             ,0              ,3              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Ketanggungan ,     ,      ,1        ,0        ,14           ,8             ,1              ,3              ,0                ,0        ,3        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Larangan     ,     ,      ,0        ,0        ,11           ,1             ,0              ,10             ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Losari       ,     ,      ,0        ,0        ,13           ,2             ,2              ,9              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Paguyangan   ,     ,      ,1        ,1        ,22           ,6             ,0              ,16             ,0                ,0        ,1        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Salem        ,     ,      ,0        ,0        ,2            ,1             ,0              ,1              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Sirampog     ,     ,      ,1        ,0        ,4            ,1             ,1              ,2              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Songgom      ,     ,      ,0        ,0        ,10           ,7             ,1              ,2              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Tanjung      ,     ,      ,2        ,0        ,7            ,3             ,0              ,4              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Tonjong      ,     ,      ,1        ,0        ,18           ,2             ,7              ,9              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Wanasari     ,     ,      ,4        ,0        ,18           ,2             ,7              ,9              ,0                ,0        ,0        ,        ,          ,http://corona.brebeskab.go.id/
