scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Dayeuhluhur,,,15,,12,9,3,,0,,114,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Wanareja,,,23,,12,12,0,,0,,140,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Majenang,,,54,,549,537,10,,2,,1199,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Cimanggu,,,23,,41,28,12,,1,,258,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Karangpucung,,,15,,22,9,13,,0,,312,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Cipari,,,13,,5,4,1,,0,,66,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Sidareja,,,8,,9,9,0,,0,,179,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Kedungreja,,,14,,15,15,0,,0,,340,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Patimuan,,,4,,7,6,0,,1,,102,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Gandrungmangu,,,23,,17,7,10,,0,,289,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Bantarsari,,,9,,2,1,0,,1,,92,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Kawunganten,,,18,,4,2,1,,1,,173,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Jeruklegi,,,19,,68,23,42,,3,,550,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Kesugihan,,,34,,66,40,25,,1,,492,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Adipala,,,18,,25,21,4,,0,,178,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Maos,,,7,,23,13,10,,0,,196,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Kroya,,,17,,169,50,111,,8,,901,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Binangun,,,9,,8,1,6,,1,,164,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Sampang,,,7,,14,7,7,,0,,177,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Nusawungu,,,10,,19,12,6,,1,,228,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Cilacap Utara,,,37,,184,88,89,,7,,795,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Cilacap Selatan,,,101,,289,103,177,,9,,1118,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Cilacap Tengah,,,58,,367,125,226,,16,,1899,,,http://corona.cilacapkab.go.id/
2020-11-23,kecamatan,Alfie Qashwa,2020-11-23,Jawa Tengah,Cilacap,Kec.Kampung Laut,,,1,,22,9,12,,1,,157,,,http://corona.cilacapkab.go.id/
