scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Colomado,,,3,6,8,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Gondangrejo,,,3,5,7,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Kebakkramat,,,11,10,19,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Jaten,,,8,12,12,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Mojogedang,,,8,9,17,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Tasikmadu,,,10,8,30,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Karanganyar,,,22,5,22,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Kerjo,,,6,4,15,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Jenawi,,,1,0,3,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Karangpandan,,,4,5,6,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,,,4,4,4,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Matesih,,,11,3,5,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Tawangmangu,,,5,2,5,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Jumapolo,,,1,4,4,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Jumantono,,,6,3,8,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Jatiyoso,,,4,2,3,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-03-29,kecamatan,Alfie Qashwa,2021-03-28,Jawa Tengah,Karanganyar,Kec.Jatipuro,,,2,3,3,,,,,,,,,http://covid19.karanganyarkab.go.id/
