scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Argopeni,,3,0,7,2,3,1,1,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Karangduwur,,1,0,3,2,0,0,1,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Srati,,3,0,3,2,1,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Pasir,,2,0,7,7,0,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Jintung,,1,0,3,1,2,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Banjararjo,,1,0,2,1,1,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Argosari,,2,0,3,2,0,0,1,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Watukelir,,0,0,2,2,0,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Kalibangkang,,4,0,23,21,2,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Tlogosari,,1,1,4,3,0,1,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Kalipoh,,1,1,5,3,1,0,1,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Ayah,,0,0,9,9,0,0,0,,,,,https://corona.kebumenkab.go.id/
2021-01-31,kelurahan,Alfie Qashwa,2021-01-31,Jawa Tengah,Kebumen,Ayah,Candirenggo,,0,1,39,28,5,4,2,,,,,https://corona.kebumenkab.go.id/
