scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Kemangkon,,,137,47,15,13,2,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Bukateja,,,163,50,25,22,3,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Kejobong,,,212,34,9,7,2,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Pengadegan,,,47,33,11,11,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Kaligondang,,,97,53,11,4,7,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Purbalingga,,,540,143,73,50,22,,1,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Kalimanah,,,98,64,23,14,7,,2,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Padamara,,,69,50,24,18,6,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Kutasari,,,233,51,20,15,4,,1,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Bojongsari,,,52,50,17,9,6,,2,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Mrebet,,,422,46,7,3,4,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Bobotsari,,,108,26,9,5,4,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Karangreja,,,134,44,15,11,4,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Karangjambu,,,128,20,3,1,2,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Karanganyar,,,243,24,1,1,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Kertanegara,,,322,26,17,11,6,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Karangmoncol,,,202,49,8,6,2,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-26,kecamatan,Alfie Qashwa,2020-10-26,Jawa Tengah,Purbalingga,Rembang,,,175,41,14,11,2,,1,,,,,https://corona.purbalinggakab.go.id/
