scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Tugu,,,,,,,1,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Ngaliyan,,,,,,,16,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Mijen,,,,,,,6,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Gunungpati,,,,,,,14,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Banyumanik,,,,,,,24,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Tembalang,,,,,,,28,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Pedurungan,,,,,,,31,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Genuk,,,,,,,6,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Semarang Utara,,,,,,,15,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Semarang Timur,,,,,,,14,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Semarang Barat,,,,,,,14,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Semarang Tengah,,,,,,,12,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Gayamsari,,,,,,,7,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Semarang Selatan,,,,,,,11,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Gajah Mungkur,,,,,,,7,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-03-20,kecamatan,Alfie Qashwa,2021-03-19,Jawa Tengah,Kota Semarang,Candisari,,,,,,,8,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
