scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Pesurungan Kidul,Jl. Dewi Sartika No. 73,5,5,33,29,1,3,0,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Debong Lor,Jl. Metro,2,1,44,43,0,0,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Kemandungan,Jl. Taman Sejahtera,2,2,15,13,1,0,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Pekauman,Jl. Ruslani Hs,1,8,61,57,0,4,0,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Kraton,Jl. Cinde,23,16,101,93,3,3,2,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Tegalsari,Jl. Sepat,44,17,92,78,1,6,7,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Barat,Muarareja,Jl. Brawijaya No. 121,3,1,23,18,2,1,2,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Timur,Kejambon,Jl. Nakula No.15,9,5,132,120,2,4,6,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Timur,Slerok,Jl. Arjuna,11,11,66,59,2,4,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Timur,Panggung,Jl. Perintis,62,24,162,144,3,8,7,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Timur,Mangkukusuman,Jl. Kh. Ahmad Dahlan,4,2,35,31,0,3,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Timur,Mintaragen,Jl. Halmahera No.55,28,16,75,65,2,3,5,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Kalinyamat Wetan,Jl. Teuku Cik Diktiro,16,4,16,15,0,0,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Bandung,Jl. Teuku Cik Ditiro no 156,4,6,27,25,0,0,2,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Debong Kidul,Jl. Samadikun No 167,5,2,22,20,0,0,2,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Tunon,Jl. KH Agung Tirtayasa,8,4,27,24,0,2,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Keturen,Jl. Gatot Subroto No.11,5,2,19,17,0,1,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Debong Kulon,Jl. Dewi Sartika No.17,2,2,23,21,0,2,0,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Debong Tengah,Jl. Abdul Muis No 82,9,11,66,60,0,4,2,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Tegal Selatan,Randugunting,Jl..A.R.Hakim,8,20,140,111,2,20,7,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Marganda,Kaligangsa,Jl. Cendrawasih,21,4,38,37,0,0,1,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Marganda,Krandon,Jl. Banda Aceh No 3,5,6,14,9,0,2,3,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Marganda,Cabawan,Jl. Cabawan,9,3,15,12,1,0,2,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Marganda,Kalinyamat Kulon,Jl. Ir.Juanda,0,1,12,7,0,2,3,,,,,https://corona.tegalkota.go.id/
2020-12-10,kelurahan,Alfie Qashwa,2020-12-10,Jawa Tengah,Kota Tegal,Marganda,Margadana,Jl. Abdul Syukur No.45,10,20,42,38,0,0,4,,,,,https://corona.tegalkota.go.id/
