date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
15/09/2020,Jawa Tengah,Brebes      ,Banjarharjo  ,     ,      ,33       ,4        ,8            ,3             ,0              ,5              ,0                ,0        ,61       ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Bantarkawung ,     ,      ,37       ,8        ,39           ,32            ,1              ,5              ,1                ,0        ,197      ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Brebes       ,     ,      ,41       ,9        ,38           ,7             ,14             ,14             ,3                ,0        ,12       ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Bulakamba    ,     ,      ,19       ,7        ,21           ,8             ,1              ,10             ,2                ,0        ,17       ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Bumiayu      ,     ,      ,11       ,2        ,0            ,6             ,1              ,22             ,1                ,0        ,14       ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Jatibarang   ,     ,      ,0        ,0        ,0            ,0             ,0              ,0              ,1                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Kersana      ,     ,      ,2        ,0        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Ketanggungan ,     ,      ,0        ,2        ,2            ,2             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Larangan     ,     ,      ,2        ,0        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Losari       ,     ,      ,0        ,0        ,2            ,2             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Paguyangan   ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Salem        ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Sirampog     ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Songgom      ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Tanjung      ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Tonjong      ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
15/09/2020,Jawa Tengah,Brebes      ,Wanasari     ,     ,      ,0        ,1        ,0            ,0             ,0              ,0              ,0                ,0        ,         ,        ,          ,http://corona.brebeskab.go.id/
