date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
17/09/2020,Jawa Tengah,Cilacap     ,Dayeuhluhur     ,  ,      ,11	    ,         ,3            ,3	           ,0              ,               ,0                ,         ,73	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Wanareja	    ,  ,      ,20	    ,         ,10           ,10	           ,0              ,               ,0                ,         ,133	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Majenang	    ,  ,      ,45	    ,         ,27           ,27	           ,0              ,               ,0                ,         ,165	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Cimanggu    	,  ,      ,20	    ,         ,15           ,15	           ,0              ,               ,0                ,         ,103	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Karangpucung	,  ,      ,12	    ,         ,5            ,4	           ,1              ,               ,0                ,         ,92	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Cipari	        ,  ,      ,12	    ,         ,1            ,1	           ,0              ,               ,0                ,         ,40	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Sidareja	    ,  ,      ,6	    ,         ,4            ,4	           ,0              ,               ,0                ,         ,160	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Kedungreja	    ,  ,      ,11	    ,         ,1            ,1	           ,0              ,               ,0                ,         ,239	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Patimuan    	,  ,      ,3	    ,         ,2            ,2	           ,0              ,               ,0                ,         ,49	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Gandrungmangu	,  ,      ,19	    ,         ,3            ,2	           ,1              ,               ,0                ,         ,215	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Bantarsari	    ,  ,      ,7	    ,         ,0            ,0	           ,0              ,               ,0                ,         ,70	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Kawunganten	    ,  ,      ,11	    ,         ,1            ,0	           ,1              ,               ,0                ,         ,83	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Jeruklegi	    ,  ,      ,13	    ,         ,4            ,3	           ,1              ,               ,0                ,         ,103	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Kesugihan	    ,  ,      ,23	    ,         ,10           ,7	           ,3              ,               ,0                ,         ,143	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Adipala	        ,  ,      ,13	    ,         ,9            ,8	           ,1              ,               ,0                ,         ,66	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Maos	        ,  ,      ,6	    ,         ,4            ,1	           ,3              ,               ,0                ,         ,74	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Kroya	        ,  ,      ,11	    ,         ,7            ,7	           ,0              ,               ,0                ,         ,151	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Binangun	    ,  ,      ,5	    ,         ,0            ,0	           ,0              ,               ,0                ,         ,84	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Sampang	        ,  ,      ,5	    ,         ,1            ,1	           ,0              ,               ,0                ,         ,54	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Nusawungu	    ,  ,      ,6	    ,         ,4            ,3	           ,1              ,               ,0                ,         ,70	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Cilacap Utara	,  ,      ,20	    ,         ,20           ,16	           ,4              ,               ,0                ,         ,218	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Cilacap Selatan	,  ,      ,38	    ,         ,9            ,7	           ,2              ,               ,0                ,         ,201	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Cilacap Tengah	,  ,      ,20	    ,         ,19           ,16	           ,1              ,               ,2                ,         ,638	     ,        ,          ,https://corona.cilacapkab.go.id/
17/09/2020,Jawa Tengah,Cilacap     ,Kampung Laut	,  ,      ,0	    ,         ,0            ,0	           ,0              ,               ,0                ,         ,28	     ,        ,          ,https://corona.cilacapkab.go.id/
