date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,         ,      ,         ,         ,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,         ,      ,         ,         ,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/


16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Kembang Arum
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Mranggen
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Kangkung
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Kalitengah
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Brumbung
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Sumberejo
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Bandungrejo
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Menur
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Ringinjajar
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Candisari
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Ngemplak
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Karangsono
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Jamus
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Waru
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Tegalarum
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Tamansari
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Banyumeneng
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Kebonbatur
16/09/2020,Jawa Tengah,Demak       ,Mranggen ,Batursari

16/09/2020,Jawa Tengah,Demak       ,Demak    ,Belokan
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Kalicilik
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Kadilangu
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Singorejo
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Karangmlati
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Bintoro
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Turirejo
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Kedondong
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Bango
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Raji
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Mulyorejo
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Sedo
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Bolo
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Kalonsari
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Kalikondang
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Cobean
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Tempuran
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Donorejo
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Mangunjiwan


16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Wonowoso
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Sampang
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Tambak Bulusan
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Pulosari
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Rejosari
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Ploso
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Wonokerto
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Karangsari
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Batu
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Donorejo
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Kedung Uter
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Karanglowo
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Wonoagung
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Klitih
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Grogol
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Pidodo
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Dukun

16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Kedondong
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Banjarsari
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Gajah
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Sari
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Boyolali
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Jatisono
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Sambirolo
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Tiogo Pandogan
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Surodadi
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Gedangalas
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Sambung
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Tambirejo
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Mlatiharjo
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Mojosimo
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Medini
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Wilalung
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Tanjunganyar
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Miekang

16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Bolorejo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Gelas
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kuncir
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Trengguli
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Mranak
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Pilangrejo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kerangkulan
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Sidomulyo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Bunderan
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Mojo demak
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Mrisen
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Doreng
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Karangrowo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kalianyar
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Wonosalam
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Tlogorejo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Tlogodowo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Lempuyang
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Karangrejo
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kendaldoyong
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Jogoloyo

16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Cangkring B
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Undaan Lor
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Undaan Kidul
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kelanjung
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Cangkring Rembang
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Tuang
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Wonorejo
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Ngemplik Wetan
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Karanganyar
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Ngaluran
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kedungwaru kidul
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kedungwaru Lor
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Tugu Lor
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kotaan
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Wonoketingal
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Jatirejo
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Bandungrejo

16/09/2020,Jawa Tengah,Demak       ,Bonang  ,


16/09/2020,Jawa Tengah,Demak       ,Kebonagung,


16/09/2020,Jawa Tengah,Demak       ,Guntur  ,

16/09/2020,Jawa Tengah,Demak       ,Mijen   ,

16/09/2020,Jawa Tengah,Demak       ,Dempet  ,

16/09/2020,Jawa Tengah,Demak       ,Wedung  ,

16/09/2020,Jawa Tengah,Demak       ,Karangawen,

16/09/2020,Jawa Tengah,Demak       ,Sayung  ,
