date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
15/09/2020,Jawa Tengah,Karanganyar ,Colomadu      ,    ,      ,2        ,0        ,10           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Colomadu      ,    ,      ,2        ,0        ,10           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Gondangrejo   ,    ,      ,1        ,0        ,5            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Kebabbramat   ,    ,      ,7        ,0        ,3            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Jaten         ,    ,      ,3        ,0        ,10           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Mojogedang    ,    ,      ,6        ,0        ,1            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Kerja         ,    ,      ,3        ,0        ,1            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Jenawi        ,    ,      ,0        ,0        ,0            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Tasikmadu     ,    ,      ,6        ,0        ,2            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Karanganyar   ,    ,      ,1        ,0        ,3            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Karangpandan  ,    ,      ,1        ,0        ,2            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Ngargoyoso    ,    ,      ,1        ,0        ,0            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Matesih       ,    ,      ,2        ,0        ,0            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Jumantono     ,    ,      ,6        ,0        ,4            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Tawangmangu   ,    ,      ,5        ,0        ,6            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Jumapolo      ,    ,      ,3        ,0        ,3            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Jatiyoso      ,    ,      ,2        ,0        ,2            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
15/09/2020,Jawa Tengah,Karanganyar ,Jatipuro      ,    ,      ,1        ,0        ,1            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.karanganyarkab.go.id/
