date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
15/09/2020,Jawa Tengah,Kebumen     ,Ayah          ,    ,      ,187      ,21       ,13           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Buayan        ,    ,      ,69       ,28       ,8            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Puring        ,    ,      ,52       ,7        ,19           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Pertanahan    ,    ,      ,108      ,12       ,4            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Klirong       ,    ,      ,84       ,8        ,10           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Buluspesantren,    ,      ,148      ,11       ,12           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Ambal         ,    ,      ,151      ,9        ,8            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Mirit         ,    ,      ,123      ,10       ,6            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Prembun       ,    ,      ,108      ,12       ,26           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Kutowinangun  ,    ,      ,136      ,9        ,20           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Alian         ,    ,      ,190      ,10       ,12           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Kebumen       ,    ,      ,489      ,37       ,46           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Pejagoan      ,    ,      ,89       ,13       ,10           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Sruweng       ,    ,      ,151      ,6        ,19           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Adimulyo      ,    ,      ,45       ,9        ,8            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Kuwarasan     ,    ,      ,183      ,19       ,4            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Rowokele      ,    ,      ,229      ,25       ,34           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Sempor        ,    ,      ,155      ,38       ,2            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Gombong       ,    ,      ,201      ,27       ,16           ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Karanganyar   ,    ,      ,61       ,14       ,6            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Karanggayam   ,    ,      ,202      ,19       ,3            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Sadang        ,    ,      ,60       ,2        ,1            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Bonorowo      ,    ,      ,48       ,6        ,9            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Padureso      ,    ,      ,36       ,3        ,0            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Poncowarno    ,    ,      ,68       ,4        ,0            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
15/09/2020,Jawa Tengah,Kebumen     ,Karangsambung ,    ,      ,90       ,6        ,6            ,              ,               ,               ,                 ,         ,         ,        ,          ,https://covid19.kebumenkab.go.id/
