date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
15/09/2020,Jawa Tengah,Kendal      ,BOJA 1          	,  ,  ,11       ,16       ,32           ,              ,               ,               ,                 ,         ,1253     ,152     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,BOJA 2           	,  ,  ,4        ,9        ,9            ,              ,               ,               ,                 ,         ,210      ,52      ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,BRANGSONG 1      	,  ,  ,1        ,9        ,39           ,              ,               ,               ,                 ,         ,576      ,131     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,BRANGSONG 2     	,  ,  ,2        ,25       ,48           ,              ,               ,               ,                 ,         ,455      ,83      ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,CEPIRING         	,  ,  ,3        ,42       ,17           ,              ,               ,               ,                 ,         ,1089     ,165     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,GEMUH 1          	,  ,  ,5        ,5        ,17           ,              ,               ,               ,                 ,         ,650      ,44      ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,GEMUH 2          	,  ,  ,3        ,5        ,27           ,              ,               ,               ,                 ,         ,708      ,146     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,KALIWUNGU        	,  ,  ,8        ,27       ,14           ,              ,               ,               ,                 ,         ,371      ,306     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,KALIWUNGU SELATAN 	,  ,  ,4        ,17       ,72           ,              ,               ,               ,                 ,         ,406      ,120     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,KANGKUNG 1      	,  ,  ,5        ,7        ,16           ,              ,               ,               ,                 ,         ,529      ,113     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,KANGKUNG 2      	,  ,  ,1        ,3        ,3            ,              ,               ,               ,                 ,         ,466      ,8       ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,KENDAL 1         	,  ,  ,1        ,9        ,50           ,              ,               ,               ,                 ,         ,572      ,166     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,KENDAL 2         	,  ,  ,0        ,6        ,37           ,              ,               ,               ,                 ,         ,404      ,282     ,          ,https://corona.kendalkab.go.id/
15/09/2020,Jawa Tengah,Kendal      ,LIMBANGAN        	,  ,  ,4        ,10       ,7            ,              ,               ,               ,                 ,         ,857      ,89      ,          ,https://corona.kendalkab.go.id/
