scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Colomado,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Gondangrejo,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Jaten,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Jatipuro,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Jatiyoso,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Jenawi,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Jumapolo,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Jumantono,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Karanganyar,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Karangpandan,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Kebakkramat,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Kerjo,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Matesih,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Mojogedang,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Tasikmadu,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
2020-11-17,kecamatan,Alfie Qashwa,2020-11-17,Jawa Tengah,Karanganyar,Kec.Tawangmangu,,,suspek,probable,positif,,,,,,,,,http://covid19.karanganyarkab.go.id/
