scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Bendan Kergon,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Medono,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Pasirkratonkramat,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Podogusih,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Pringrejo,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Saporu Kebulen,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Tirto,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/

2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Banyurip,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
2020-11-17,kelurahan,Alfie Qashwa,2020-11-17,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Buaran Kradenan,,suspek,probable,totalpositif,sembuh,dirawat,isolasi,meninggal,,,,,http://corona.pekalongankota.go.id/
