scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Dayeuhluhur,,,12,,4,4,0,,0,,79,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Wanareja,,,20,,11,10,1,,0,,133,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Majenang,,,49,,55,27,28,,0,,200,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Cimanggu,,,22,,21,19,1,,1,,112,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Karangpucung,,,13,,5,5,0,,0,,153,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Cipari,,,12,,1,1,0,,0,,40,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Sidareja,,,6,,4,4,0,,0,,160,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Kedungreja,,,11,,6,1,5,,0,,239,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Patimuan,,,3,,3,2,1,,0,,49,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Gandrungmangu,,,21,,4,4,0,,0,,215,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Bantarsari,,,8,,0,0,0,,0,,70,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Kawunganten,,,11,,1,1,0,,0,,83,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Jeruklegi,,,15,,5,4,1,,0,,127,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Kesugihan,,,25,,15,14,1,,0,,148,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Adipala,,,12,,16,11,5,,0,,91,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Maos,,,6,,6,4,2,,0,,85,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Kroya,,,11,,18,8,8,,2,,243,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Binangun,,,6,,0,0,0,,0,,84,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Sampang,,,6,,4,2,2,,0,,54,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Nusawungu,,,6,,8,4,4,,0,,70,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Cilacap Utara,,,23,,28,23,4,,1,,218,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Cilacap Selatan,,,55,,18,10,6,,2,,371,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Cilacap Tengah,,,25,,40,20,17,,3,,804,,,http://corona.cilacapkab.go.id/
2020-10-05,kecamatan,Alfie Qashwa,2020-10-05,Jawa Tengah,Cilacap,Kec.Kampung Laut,,,0,,0,0,0,,0,,28,,,http://corona.cilacapkab.go.id/
