scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Colomado,,,6,8,23,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Gondangrejo,,,0,5,22,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Kebakkramat,,,12,10,36,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Jaten,,,11,13,37,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Mojogedang,,,8,9,23,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Tasikmadu,,,15,9,20,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Karanganyar,,,19,6,45,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Kerjo,,,2,5,20,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Jenawi,,,1,0,3,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Karangpandan,,,4,6,6,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Ngargoyoso,,,4,4,4,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Matesih,,,7,3,35,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Tawangmangu,,,4,2,7,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Jumapolo,,,2,4,4,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Jumantono,,,7,3,13,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Jatiyoso,,,2,2,4,,,,,,,,,http://covid19.karanganyarkab.go.id/
2021-05-04,kecamatan,Alfie Qashwa,2021-05-03,Jawa Tengah,Karanganyar,Kec.Jatipuro,,,6,3,16,,,,,,,,,http://covid19.karanganyarkab.go.id/
