scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Argopeni,,3,0,0,0,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Karangduwur,,2,0,1,0,0,0,1,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Srati,,3,0,2,2,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Pasir,,2,0,3,1,0,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Jintung,,2,0,0,0,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Banjararjo,,1,0,1,1,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Argosari,,2,0,1,0,0,1,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Watukelir,,0,0,2,2,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Kalibangkang,,3,0,10,9,1,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Tlogosari,,1,1,2,2,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Kalipoh,,2,1,4,3,0,0,1,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Ayah,,0,0,2,2,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Candirenggo,,0,0,16,8,2,5,1,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Mangunweni,,1,0,3,3,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Jatijajar,,2,1,6,3,1,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Demangsari,,3,0,9,4,2,3,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Bulurejo,,0,1,2,1,1,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Ayah,Kedungweru,,0,1,2,0,1,1,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Karangbolong,,0,0,0,0,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Jladri,,0,1,1,1,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Adiwarno,,0,0,8,4,1,3,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Rangkah,,1,0,5,2,1,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Wonodadi,,0,0,0,0,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Geblug,,0,0,3,1,0,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Rogodadi,,0,0,3,1,1,1,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Pakuran,,0,0,1,1,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Buayan,,0,0,3,1,2,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Sikayu,,0,0,4,1,0,3,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Karangsari,,1,0,2,1,1,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Rogodono,,2,0,7,3,2,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Banyumudal,,0,0,4,2,0,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Tugu,,0,0,4,1,1,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Nogoraji,,0,0,4,0,1,3,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Mergosono,,1,1,3,1,0,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Semampir,,1,0,0,0,0,0,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buayan,Jogomulyo,,0,1,7,5,0,2,0,,,,,https://corona.kebumenkab.go.id/
2020-12-13,kelurahan,Alfie Qashwa,2020-12-13,Jawa Tengah,Kebumen,Buluspesantren,Ayamputih,,0,0,1,1,0,0,0,,,,,https://corona.kebumenkab.go.id/
