scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Bendan Kergon,,3,0,62,45,1,8,8,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Medono,,0,0,66,47,3,12,4,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Pasir Kraton Kramat,,4,0,49,42,2,2,3,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Podosugih,,0,0,49,35,0,12,2,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Pringrejo,,3,0,51,41,1,6,3,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Saporu Kebulen,,1,0,34,25,0,8,1,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Barat,Tirto,,1,1,25,20,1,2,2,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Banyurip,,2,0,18,6,1,9,2,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Buaran Kradenan,,1,0,41,21,0,19,1,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Jenggot,,3,0,19,15,0,2,2,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Kuripan Kertoharjo,,1,0,15,13,0,1,1,,,,,http://corona.pekalongankota.go.id/
2020-12-07,kelurahan,Alfie Qashwa,2020-12-07,Jawa Tengah,Kota Pekalongan,Pekalongan Selatan,Kuripan Yosorejo,,1,1,22,17,1,3,1,,,,,http://corona.pekalongankota.go.id/
