scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Kemangkon,,,137,42,12,12,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Bukateja,,,163,40,15,13,2,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Kejobong,,,212,31,7,7,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Pengadegan,,,47,28,7,6,1,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Kaligondang,,,97,45,5,2,3,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Purbalingga,,,408,104,41,36,5,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Kalimanah,,,98,53,14,11,2,,1,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Padamara,,,69,42,20,12,8,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Kutasari,,,233,44,16,14,1,,1,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Bojongsari,,,52,37,8,7,1,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Mrebet,,,422,37,2,2,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Bobotsari,,,101,18,4,2,2,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Karangreja,,,134,35,12,9,3,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Karangjambu,,,128,18,1,1,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Karanganyar,,,243,22,1,1,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Kertanegara,,,322,17,10,1,9,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Karangmoncol,,,202,41,5,5,0,,0,,,,,https://corona.purbalinggakab.go.id/
2020-10-06,kecamatan,Alfie Qashwa,2020-10-06,Jawa Tengah,Purbalingga,Rembang,,,175,32,6,4,2,,0,,,,,https://corona.purbalinggakab.go.id/
