scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Tugu,,,,,,,4,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Ngaliyan,,,,,,,30,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Mijen,,,,,,,2,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Gunungpati,,,,,,,6,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Banyumanik,,,,,,,19,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Tembalang,,,,,,,24,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Pedurungan,,,,,,,29,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Genuk,,,,,,,5,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Semarang Utara,,,,,,,16,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Semarang Timur,,,,,,,6,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Semarang Barat,,,,,,,35,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Semarang Tengah,,,,,,,5,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Gayamsari,,,,,,,9,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Semarang Selatan,,,,,,,8,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Gajah Mungkur,,,,,,,7,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
2021-04-11,kecamatan,Alfie Qashwa,2021-04-09,Jawa Tengah,Kota Semarang,Candisari,,,,,,,13,,,,,,,https://ppid.semarangkota.go.id/peta-sebaran-virus-corona-covid-19-di-kota-semarang/
