scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Pesurungan Kidul,Jl. Dewi Sartika No. 73,5,3,6,2,2,2,0,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Debong Lor,Jl. Metro,2,1,1,1,0,0,0,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Kemandungan,Jl. Taman Sejahtera,1,1,7,4,0,3,0,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Pekauman,Jl. Ruslani Hs,1,4,18,13,0,5,0,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Kraton,Jl. Cinde,20,7,14,8,0,6,0,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Tegalsari,Jl. Sepat,32,7,13,5,1,6,1,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Barat,Muarareja,Jl. Brawijaya No. 121,3,0,7,6,0,0,1,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Timur,Kejambon,Jl. Nakula No.15,9,1,17,10,0,6,1,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Timur,Slerok,Jl. Arjuna,10,6,14,9,0,4,1,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Timur,Panggung,Jl. Perintis,55,12,19,7,3,8,1,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Timur,Mangkukusuman,Jl. Kh. Ahmad Dahlan,2,2,7,3,0,4,0,,,,,https://corona.tegalkota.go.id/
2020-10-08,kelurahan,Alfie Qashwa,2020-10-08,Jawa Tengah,Tegal,Tegal Timur,Mintaragen,Jl. Halmahera No.55,24,8,8,6,0,0,2,,,,,https://corona.tegalkota.go.id/
